ID,Capture method,Name,State,Site,Latitude,Longitude,Date,Ambient temp,Sex,Female breeding condition ,Mass (kg),Mass estimated,Body condition score,Stress level ,Drug(s),Dose: Zoletil (mL),Dose: Zoletil (mg/kg),Dose: Xylazine (mL),Dose: Xylazine (mg/kg),Dose: yohimbine (mg),Dose: yohimbine (mg/kg),Dose:atipamezole (mg),Dose:atipamezole (mg/kg),Drug admin site,Induction duration (min:sec),Induction duration (min),Depth Of Anaesthesia,Temp_body,Hyperthermia (Y/N),Respiratory rate ,Respiratory depth ,Heart rate ,Time of restraint,Time of release,Handling duration (min:sec),Handling duration (min),Time standing,Recovery duration (min:sec),Notes on recovery,Reversal time (min),Total duration (min:sec),Total duration (min),Injury,Injury type,n_in_trap,tags_in_trap,last_usable_fix,collar_in_hand,mortality,Collar end date,Capture-death duration,Collar shed,fate,notes_on_collar_recovery,notes_on_capture,Doses,Collar data,,,,,,,,,
DM39,Pole syringe,Eastern Collared Pig 70,NSW,Not sure,-29.871074,152.040774,8/31/2022,15,m,-None Selected-,47.00,,45416,Low ,Zoletil,2.00,4.26,,,,,,,Rump,03:00,,Deep,41.1,Y,Normal,Normal,,8/31/2022 10:54,8/31/2022 11:17,23:18,23.30,8/31/2022 11:57,0:39:58,,,1:06:16,6.27,0,,,,,,4/15/2023,,226.55,,Unknown,Died 15/4/23,,,,,,,,,,,,
AB64,Manual,,NSW,napnap,-34.499612,144.21579,3/17/2021,na,f,,,,4,,,,,,1.78,,,,,,,-,,40,Y,,,,0:00:56,0:08:33,07:37,457.00,,,,,0:08:33,8.55,0,,6,,,,11/19/2021 0:00,,246.68,,dead_unknown,NA,,,,,,,,,,,,
AB76,Manual,,NSW,nimmie,-34.5159647,144.034904,3/17/2021,na,m,,,,4,,,,,,1.85,,,,,,,-,,-,,,,,0:03:04,0:14:00,10:56,656.00,,,,,0:14:00,14.00,1,superficial cut on right flank c 6 cm,1,,11/23/2021 3:00,,11/23/2021 17:00,,251.27,,dead_shotaerial,NA,escaped early,,,,,,,,,,,
AB49,Manual,,NSW,nimmie,-34.515762,144.024655,3/17/2021,na,f,,,,3,,,,,,2.69,,,,,,,-,,39.2,N,,,,0:01:26,0:10:40,09:14,554.00,,,,,0:10:40,10.67,0,,5,,11/24/2021 1:00,,11/24/2021 15:00,,252.22,,dead_shotaerial,NA,,,,,,,,,,,,
AB69,Manual,,NSW,nimmie,-34.512887,144.024403,3/16/2021,na,f,,,,3,,,,,,2.67,,,,,,,-,,40.4,Y,,,,NA,NA,NA,NA,,,,,,NA,0,,16,,11/23/2021 10:00,,11/24/2021,,252.48,,dead_shotaerial,NA,,,,,,,,,,,,
AB72,Manual,,NSW,nimmie,-34.516581,144.034895,3/16/2021,na,m,,,,3,,,,,,#DIV/0!,,,,,,,-,,40.8,Y,,,,0:07:30,0:28:26,20:56,1256.00,,,,,0:28:26,28.43,0,,2,,8/9/2021 13:00,,11/24/2021 0:00,,252.54,,dead_shotaerial,NA,,,,,,,,,,,,
AB16,Manual,,NSW,napnap,-34.496248,144.204335,3/16/2021,na,m,,,,4,,,,,,2.09,,,,,,,-,,37.2,N,,,,0:06:45,0:33:22,26:37,1597.00,,,,,0:33:22,33.37,1,"bloody nose, but no visible skin break",1,,9/16/2021 5:00,,12/9/2021 0:00,,267.65,,dead_shotlandholder,NA,,,,,,,,,,,,
DM35,Pole syringe,Eastern Collared Pig 52,NSW,Kingsgate Station,-29.790973,152.025032,3/4/2022,16,f,Lactating ,35.20,,45415,Low ,Zoletil,2.00,5.68,,,,,,,Rump,02:00,,Deep,39.4,N,Normal,Normal,,3/4/2022 8:08,3/4/2022 8:30,21:13,21.22,3/4/2022 9:03,0:33:00,,,0:56:13,56.22,0,,,,,,1/6/2023,,307.66,,Unknown,Died 6/1/23,,,,,,,,,,,,
DM31,Pole syringe,Eastern Collared Pig 48,NSW,"KINGSGATE STATION
",-29.80654,152.063656,2/23/2022,18,f,Lactating ,48.00,,45414,Moderate ,Zoletil,2.00,4.17,,,,,,,Rump,03:00,,Good,39.7,N,Normal,Normal,,2/23/2022 11:30,2/23/2022 11:45,14:58,14.97,2/23/2022 12:24,0:39:00,,,0:56:58,56.97,0,,,,,,12/29/2022,,308.52,,Unknown,Died on the 29/12/2022,,,,,,,,,,,,
DM40,Pole syringe,Eastern Collared Pig 72,NSW,Newberries,-29.870956,152.040812,9/1/2022,14,m,-None Selected-,50.00,,45416,Low ,Zoletil,2.00,4.00,,,,,,,Rump,03:00,,Deep,40.2,Y,Normal,Normal,,9/1/2022 10:19,9/1/2022 10:36,16:37,16.62,9/1/2022 11:04,0:28:02,,,0:47:40,47.67,0,,,,,,7/16/2023,,317.57,,Unknown,Died 13/7/23,,,,,,,,,,,,
DM30,Pole syringe,Eastern Collared Pig 46,NSW,Kingsgate Station,-29.755633,151.980097,2/23/2022,18,f,Pregnant ,51.60,,45416,Moderate ,Zoletil,2.00,3.88,,,,,,,Rump,03:00,,Good,39.1,N,Normal,Normal,,2/23/2022 8:17,2/23/2022 8:38,21:45,21.75,2/23/2022 8:54,0:16:14,,,0:40:59,40.98,0,,,,,,1/14/2023,,324.65,,Unknown,Died on the 14th Jan 2023,,,,,,,,,,,,
DM34,Pole syringe,Eastern Collared Pig 51,NSW,Kingsgate Station ,-29.790899,152.027092,3/4/2022,16,m,-None Selected-,58.00,,45416,High,Zoletil,2.00,3.45,,,,,,,Rump,12:00,,Minimal ,42.2,Y,Panting ,Shallow,,3/4/2022 7:32,3/4/2022 8:02,30:39,30.65,3/4/2022 8:35,0:32:19,,,1:14:58,14.97,,,,,,,1/28/2023,,329.69,,,,,,,,,,,,,,,
AB15,Manual,,NSW,willowtree,-31.786464,150.520252,11/30/2022,15.4,m,,,,3,,,,,,3.04,,,,,,,-,,37.1,N,,,,0:14:10,0:16:24,02:14,134.00,,,,,0:16:24,16.40,1,bloody nose,1,,10/28/2023 10:00,,10/28/2023 10:00,,332.16,,dead_shothunter,NA,,,,,,,,,,,,
AB10,Manual,,NSW,willowtree,-31.822863,150.503893,11/30/2022,15.6,m,,,,3,,,,,,0.00,,,,,,,-,,36.8,N,,,,0:08:47,0:11:15,02:28,148.00,,,,,0:11:15,11.25,0,,5,,10/29/2023 10:00,,10/30/2023 0:00,,333.71,,dead_shothunter,NA,,,,,,,,,,,,
AB70,Manual,,NSW,booligal,-33.813667,144.738014,10/20/2021,16.9,m,,,,4,,,,,,0.00,,,,,,,-,,40.6,Y,,,,0:16:35,0:19:43,03:08,188.00,,,,,0:19:43,19.72,0,,3,,12/8/2021 10:00,,10/1/2022 11:00,,346.11,,dead_shotlandholder,NA,,,,,,,,,,,,
DM43,Pole syringe,Eastern Collared Pig 56,NSW,Guy fawkes,-29.923543,152.113932,9/6/2022,16,m,-None Selected-,40.00,,45416,Moderate ,Zoletil,2.00,5.00,,,,,,,Neck,03:00,,Good,39.7,N,Normal,Normal,,9/6/2022 12:06,9/6/2022 12:23,16:15,16.25,9/6/2022 13:46,1:23:11,,,1:42:26,42.43,0,,,,,,9/9/2023,,367.50,,Unknown,Died on the 9/9/23,,,,,,,,,,,,
AB37,Manual,,NSW,napnap,-34.44902,144.156856,3/19/2021,na,f,,,,3,,,,,,2.20,,,,,,,-,,38.5,N,,,,0:02:12,0:07:37,05:25,325.00,,,,,0:07:37,7.62,0,,15,,4/20/2022 8:01,,4/21/2022 0:00,,397.70,,unknown,NA,,,,,,,,,,,,
AB02,Manual,,NSW,willowtree,-31.822863,150.503893,12/1/2022,15.6,f,,,,3,,,,,,2.50,,,,,,,-,,34.1,N,,,,0:15:48,0:19:50,04:02,242.00,,,,,0:19:50,19.83,1,small cut rh shoulder,3,,6/18/2023 4:00,,3/5/2024 8:00,,460.04,,dead_shotdpi,NA,,,,,,,,,,,,
AB27,Manual,,NSW,nimmie,-34.516001,144.034982,3/19/2021,na,f,,,,4,,,,,,1.85,,,,,,,-,,38,N,,,,0:00:35,0:04:36,04:01,241.00,,,,,0:04:36,4.60,0,,5,,6/21/2022 18:01,,6/22/2022 9:00,,460.05,,dead_shotaerial,NA,,,,,,,,,,,,
AB62,Manual,,NSW,nimmie,-34.515762,144.024655,3/17/2021,na,f,,,,4,,,,,,2.00,,,,,,,-,,39.8,N,,,,0:04:19,0:19:23,15:04,904.00,,,,,0:19:23,19.38,0,,5,,6/21/2022 18:00,,6/22/2022 9:00,,461.97,,dead_shotaerial,NA,,,,,,,,,,,,
AB71,Manual,,NSW,nimmie,-34.512887,144.024403,3/16/2021,na,f,,,,3,,,,,,2.11,,,,,,,-,,40.6,Y,,,,0:04:16,0:12:12,07:56,476.00,,,,,0:12:12,12.20,0,,16,,6/21/2022 16:00,,6/22/2022 9:00,,462.86,,dead_shotaerial,NA,,,,,,,,,,,,
AB43,Manual,,NSW,nimmie,-34.515762,144.024655,3/17/2021,na,f,,,,4,,,,,,3.09,,,,,,,-,,39,N,,,,0:01:00,0:06:00,05:00,300.00,,,,,0:06:00,6.00,0,,5,,6/24/2022 18:01,,6/25/2022 9:00,,464.97,,dead_shotaerial,NA,,,,,,,,,,,,
DM89,Pole syringe,Western Collared Pig 1,NSW,Len Roy ,-29.512525,144.282246,9/16/2020,31,m,-None Selected-,43.40,,45416,Low ,Zoletil,2.00,4.61,,4.53,,,,,Rump,05:00,,Good,39.1,N,Slow,Shallow,,9/16/2020 17:45,9/16/2020 17:47,01:47,1.78,9/16/2020 18:49,1:01:42,,,1:08:29,8.48,,,,,,,2/28/2022,,529.26,,Natural causes,Died of natural causes on the 28/2/2022,,,,,,,,,,,,
DM91,Pole syringe,Western Collared Pig 3,NSW,Moreland Downs ,-29.452433,144.340465,9/17/2020,32,f,Lactating ,44.40,,45414,Moderate ,Zoletil,2.00,4.50,,2.95,,,,,Rump,03:00,,Good,39.4,N,Normal,Normal,,9/17/2020 16:50,9/17/2020 17:04,14:27,14.45,9/17/2020 18:01,0:57:10,,,1:14:37,14.62,0,,,,,,3/10/2022,,538.30,,,Shot in aerial shoot. 10/3/2022 at 7:30am,,,,,,,,,,,,
AB73,Manual,,NSW,booligal,-33.813679,144.810974,10/19/2021,11.9,m,,,,3,,,,,,2.26,,,,,,,-,,40.9,Y,,,,0:16:30,0:20:00,03:30,210.00,,,,,0:20:00,20.00,0,,5,,1/30/2023 12:01,,5/20/2023 13:00,,578.21,,dead_shotlandholder,NA,caught with dogs,,,,,,,,,,,
DM101,Pole syringe,Western Collared Pig 14,NSW,Nocheleche,-29.97673,144.131056,11/11/2020,32,m,-None Selected-,62.80,,45415,Moderate ,Zoletil,2.00,3.18,,#DIV/0!,,,,,Rump,03:00,,Good,39.3,N,Normal,Normal,,11/11/2020 17:48,11/11/2020 18:09,20:47,20.78,11/11/2020 18:50,0:41:20,,,1:05:07,5.12,0,,,,,,7/4/2022,,599.26,,,Shot on the 4th July 2022. Weighed 72.2kg. ,,,,,,,,,,,,
AB51,Manual,,NSW,booligal,-33.81369,144.810992,10/21/2021,17,m,,,,4,,,,,,3.82,,,,,,,-,,39.3,N,,,,0:10:12,0:22:42,12:30,690.00,,,,,0:22:42,22.70,0,,1,,11/28/2021 8:00,,7/6/2023 0:00,,622.67,,dead_shotlandholder,"recovered with ear tag only, data stopped 39 days after capture, mortality is day killed",,,,,,,,,,,,
DM121,Pole syringe,Western Collared Pig 34,NSW,Mount Jack,-30.826867,143.742165,5/18/2021,19,m,-None Selected-,41.40,,45416,Low ,Zoletil,2.00,4.83,,,,,,,Rump,02:00,,Good,37.8,N,Normal,Normal,,5/18/2021 13:42,5/18/2021 14:07,25:21,25.35,5/18/2021 14:48,0:40:48,,,1:08:09,8.15,0,. Pig weighed 80.2kg. Shot with Ray Dennis  ear tag 61,,,,,2/19/2023,,641.43,,,Shot on the 19 Feb 2023,,,,,,,,,,,,
AB01,Manual,,NSW,Yantabulla,-29.257851,144.977894,9/20/2023,16.6,m,,,,2,,,,,,2.04,,,,,,,-,,38.4,N,,,,0:15:37,0:18:01,02:24,144.00,,,,,0:18:01,18.02,0,,NA,,3/1/2024 10:00,,-,,,,unknown,,,,,,,,,,,,,
AB04,Manual,,NSW,willowtree,-31.822863,150.503893,12/2/2022,13.4,f,pregnant,,,3,,,,,,2.29,,,,,,,-,,34.5,N,,,,0:07:25,0:10:45,03:20,200.00,,,,,0:10:45,10.75,1,,2,,3/9/2023 2:01,,NA,,,96.78,unknown_collarslip,Collar slipped off pig,,,,,,,,,,,,
AB06,Manual,,NSW,Yantabulla,-29.256285,144.973616,9/21/2023,18.9,m,,,,3,,,,,,#DIV/0!,,,,,,,-,,36.1,N,,,,7.25,NA,NA,NA,,,,,,NA,0,,NA,,8/2/2024 6:00,,-,,,,unknown,,,,,,,,,,,,,
AB07,Manual,,NSW,Yantabulla,-29.254101,144.971346,9/21/2023,18.8,m,,,,2,,,,,,3.24,,,,,,,-,,36.1,N,,,,NA,NA,NA,NA,,,,,,NA,0,,NA,,,,-,,,,alive,,,,,,,,,,,,,
AB08,Manual,,NSW,Yantabulla,-29.257809,144.977931,9/21/2023,19.8,f,,,,2,,,,,,2.41,,,,,,,-,,36.4,N,,,,0:13:25,0:21:51,08:26,506.00,,,,,0:21:51,21.85,0,,NA,,4/22/2024 9:00,,-,,,,unknown,,,,,,,,,,,,,
AB09,Manual,,NSW,Yantabulla,-29.257883,144.977942,9/19/2023,17.4,m,,,,2,,,,,,2.63,,,,,,,-,,36.7,N,,,,0:19:00,0:23:19,04:19,259.00,,,,,0:23:19,23.32,0,,NA,,,,-,,,,alive,,,,,,,,,,,,,
AB11,Manual,,NSW,willowtree,-31.822863,150.503893,12/1/2022,15.6,f,pregnant,,,3,,,,,,2.08,,,,,,,-,,36.8,N,,,,0:08:12,0:12:46,04:34,274.00,,,,,0:12:46,12.77,1,broken skin on snout. ,3,,3/9/2023 12:03,,NA,,,98.21,unknown_collarslip,Collar slipped off pig,Mort alert 19/12/2022 - farrowing?,,,,,,,,,,,
AB12,Manual,,NSW,willowtree,-31.822863,150.503893,11/30/2022,15.5,m,,,,3,,,,,,2.81,,,,,,,-,,36.8,N,,,,0:11:26,0:15:24,03:58,238.00,,,,,0:15:24,15.40,0,NA,1,,7/20/2023 9:00,,NA,,,,dead_unknown,NA,,,,,,,,,,,,
AB13,Manual,,NSW,Yantabulla,-29.29163,144.962412,9/20/2023,18.3,m,,,,2,,,,,,3.04,,,,,,,-,,37,N,,,,0:14:20,0:19:03,04:43,283.00,,,,,0:19:03,19.05,0,,NA,,1/10/2024 10:00,,-,,,,unknown,,,,,,,,,,,,,
AB14,Manual,,NSW,Yantabulla,-29.296027,144.979284,9/21/2023,21.7,m,,,,2,,,,,,2.26,,,,,,,-,,37,N,,,,0:13:26,0:19:03,05:37,337.00,,,,,0:19:03,19.05,0,,NA,,,,-,,,,alive,,shot 2 pigs due to welfare reasons (extremely poor condition) in trap,,,,,,,,,,,
AB18,Manual,,NSW,Yantabulla,-29.55402,144.971334,9/19/2023,23.8,f,,,,2,,,,,,2.36,,,,,,,-,,37.3,N,,,,0:18:30,0:20:28,01:58,118.00,,,,,0:20:28,20.47,0,,NA,,5/11/2024 1:00,,-,,,,unknown,,,,,,,,,,,,,
AB19,Manual,,NSW,booligal,-33.813667,144.738014,10/20/2021,16.9,m,,,,4,,,,,,#DIV/0!,,,,,,,-,,37.4,N,,,,0:07:07,0:11:17,04:10,250.00,,,,,0:11:17,11.28,0,,3,,1/30/2023 12:00,,NA,,,,unknown,NA,,,,,,,,,,,,
AB21,Manual,,NSW,Yantabulla,-29.303716,144.950247,9/19/2023,28.8,m,,,,2,,,,,,2.24,,,,,,,-,,37.4,N,,,,0:04:45,0:07:03,02:18,138.00,,,,,0:07:03,7.05,0,,NA,,1/10/2024 10:00,,-,,,,unknown,,,,,,,,,,,,,
AB22,Manual,,NSW,booligal,-33.813679,144.810974,10/19/2021,11.9,f,,,,3,,,,,,#DIV/0!,,,,,,,-,,37.6,N,,,,0:05:20,0:11:40,06:20,380.00,,,,,0:11:40,11.67,0,,5,,1/30/2023 16:00,,NA,,,,unknown,NA,,,,,,,,,,,,
AB24,Manual,,NSW,Yantabulla,-29.252558,144.981828,9/19/2023,17.9,m,,,,2,,,,,,#DIV/0!,,,,,,,-,,37.7,N,,,,0:16:18,0:20:18,04:00,240.00,,,,,0:20:18,20.30,0,,NA,,,,-,,,,alive,,,,,,,,,,,,,
AB25,Manual,,NSW,Yantabulla,-29.256353,144.973638,9/21/2023,15.6,m,,,,NA,,,,,,2.00,,,,,,,-,,37.9,N,,,,0:12:15,0:13:45,01:30,90.00,,,,,0:13:45,13.75,0,,NA,,,,-,,,,alive,,,,,,,,,,,,,
AB26,Manual,,NSW,Yantabulla,-29.256353,144.973638,9/20/2023,15.6,m,,,,NA,,,,,,2.90,,,,,,,-,,37.9,N,,,,0:08:30,0:10:15,01:45,105.00,,,,,0:10:15,10.25,0,,NA,,,,-,,,,alive,,,,,,,,,,,,,
AB28,Manual,,NSW,willowtree,-31.800267,150.51079,12/19/2022,13,f,,,,3,,,,,,2.88,,,,,,,-,,38,N,,,,0:24:57,0:28:12,03:15,195.00,,,,,0:28:12,28.20,0,,5,,11/4/2023 21:00,,NA,,,320.62,unknown_collarslip,NA,,,,,,,,,,,,
AB29,Manual,,NSW,Yantabulla,-29.257809,144.977931,9/21/2023,19.8,f,,,,2,,,,,,2.61,,,,,,,-,,38.1,N,,,,0:07:45,0:11:05,03:20,200.00,,,,,0:11:05,11.08,0,,NA,,,,-,,,,alive,,,,,,,,,,,,,
AB30,Manual,,NSW,Yantabulla,-29.291613,144.962408,9/21/2023,20.1,m,,,,2,,,,,,2.24,,,,,,,-,,38.1,N,,,,0:19:55,0:23:05,03:10,190.00,,,,,0:23:05,23.08,0,,NA,,,,-,,,,alive,,,,,,,,,,,,,
AB34,Manual,,NSW,Yantabulla,-29.25641,144.973758,9/19/2023,20.1,m,,,,2,,,,,,2.33,,,,,,,-,,38.4,N,,,,4.2,NA,NA,NA,,,,,,NA,0,,NA,,8/2/2024 6:00,,-,,,,unknown,,,,,,,,,,,,,
AB38,Manual,,NSW,willowtree,-31.822863,150.503893,11/30/2022,15.6,m,,,,4,,,,,,2.36,,,,,,,-,,38.6,N,,,,0:22:38,0:28:31,05:53,353.00,,,,,0:28:31,28.52,1,bloody nose,5,,8/8/2023 17:00,,NA,,,251.42,unknown_collarslip,NA,,,,,,,,,,,,
AB39,Manual,,NSW,marimley,-34.431,143.7,3/18/2021,na,f,,,,4,,,,,,1.75,,,,,,,-,,38.8,N,,,,0:02:20,0:09:41,07:21,441.00,,,,,0:09:41,9.68,0,,2,,11/29/2022 23:00,,NA,,,,unknown,NA,,,,,,,,,,,,
AB40,Manual,,NSW,Yantabulla,-29.25402,144.971334,9/19/2023,23.9,m,,,,2,,,,,,3.00,,,,,,,-,,38.8,N,,,,0:23:00,0:26:07,03:07,187.00,,,,,0:26:07,26.12,0,,NA,,11/30/2023 10:00,,-,,,,unknown,,,,,,,,,,,,,
AB41,Manual,,NSW,Yantabulla,-29.257851,144.977894,9/20/2023,16.6,m,,,,2,,,,,,#DIV/0!,,,,,,,-,,38.8,N,,,,0:08,0:10:35,02:20,140.00,,,,,0:10:35,10.58,0,,NA,,,,-,,,,alive,,,,,,,,,,,,,
AB42,Manual,,NSW,Yantabulla,-29.308051,144.961183,9/20/2023,31.3,m,,,,2,,,,,,2.13,,,,,,,-,,38.9,N,,,,0:04:00,0:05:35,01:35,95.00,,,,,0:05:35,5.58,0,,NA,,,,-,,,,alive,,,,,,,,,,,,,
AB45,Manual,,NSW,Yantabulla,-29.328107,144.9735,9/20/2023,37.7,m,,,,2,,,,,,2.46,,,,,,,-,,39,N,,,,0:03:45,0:07:15,03:30,210.00,,,,,0:07:15,7.25,0,,NA,,,,-,,,,alive,,,,,,,,,,,,,
AB46,Manual,,NSW,Yantabulla,-29.25402,144.971334,9/19/2023,22.5,m,,,,2,,,,,,2.11,,,,,,,-,,39,N,,,,16.26,NA,NA,NA,,,,,,NA,0,,NA,,,,-,,,,alive,,,,,,,,,,,,,
AB47,Manual,,NSW,Yantabulla,-29.295979,144.979313,9/19/2023,26.9,f,,,,2,,,,,,#DIV/0!,,,,,,,-,,39.1,N,,,,0:13:45,0:16:52,03:07,187.00,,,,,0:16:52,16.87,0,,NA,,,,-,,,,alive,,,,,,,,,,,,,
AB48,Manual,,NSW,nimmie,-34.516309,144.024584,3/16/2021,na,f,,,,4,,,,,,1.82,,,,,,,-,,39.2,N,,,,0:06:00,0:22:05,16:05,965.00,,,,,0:22:05,22.08,0,,5,,9/7/2022 0:00,,NA,,,,dead_unknown,NA,,,,,,,,,,,,
AB50,Manual,,NSW,Yantabulla,-29.296014,144.9792,9/20/2023,26.8,m,,,,2,,,,,,#DIV/0!,,,,,,,-,,39.2,N,,,,0:11:15,0:14:20,03:05,185.00,,,,,0:14:20,14.33,0,,NA,,1/10/2024 10:00,,-,,,,unknown,,,,,,,,,,,,,
AB53,Manual,,NSW,Yantabulla,-29.29164,144.975308,9/20/2023,22.6,m,,,,2,,,,,,2.26,,,,,,,-,,39.3,N,,,,0:13:15,0:16:11,02:56,176.00,,,,,0:16:11,16.18,0,,23,,,,-,,,,alive,,,,,,,,,,,,,
AB54,Manual,,NSW,booligal,-33.813679,144.810974,10/19/2021,11.9,f,,,,3,,,,,,2.03,,,,,,,-,,39.4,N,,,,0:22:45,0:26:10,03:25,215.00,,,,,0:26:10,26.17,0,,5,,1/30/2023 15:00,,NA,,,,unknown,NA,,,,,,,,,,,,
AB55,Manual,,NSW,Yantabulla,-29.329164,144.975308,9/20/2023,22.6,m,,,,2,,,,,,0.04,,,,,,,-,,39.4,N,,,,0:19:02,0:22:10,03:08,188.00,,,,,0:22:10,22.17,0,,NA,,1/10/2024 10:00,,-,,,,unknown,,,,,,,,,,,,,
AB56,Manual,,NSW,Yantabulla,-29.296014,144.9792,9/20/2023,26.8,m,,,,3,,,,,,#DIV/0!,,,,,,,-,,39.4,N,,,,0:18:54,0:22:30,03:36,216.00,,,,,0:22:30,22.50,0,,NA,,,,-,,,,alive,,,,,,,,,,,,,
AB58,Manual,,NSW,Yantabulla,-29.295979,144.979313,9/19/2023,26.9,f,,,,2,,,,,,2.15,,,,,,,-,,39.5,N,,,,0:19:08,0:21:02,01:54,114.00,,,,,0:21:02,21.03,0,,NA,,,,-,,,,alive,,,,,,,,,,,,,
AB59,Manual,,NSW,booligal,-33.812991,144.742944,10/21/2021,16.9,f,,,,3,,,,,,3.45,,,,,,,-,,39.7,N,,,,0:13:15,0:17:18,04:03,243.00,,,,,0:17:18,17.30,0,,3,,5/23/2022 12:00,,NA,,,,dead_unknown,NA,,,,,,,,,,,,
AB63,Manual,,NSW,willowtree,-31.800267,150.51079,12/19/2022,13,m,,,,3,,,,,,3.87,,,,,,,-,,39.8,N,,,,0:32:15,0:37:40,05:25,325.00,,,,,0:37:40,37.67,0,,5,,6/16/2023 2:03,,NA,,,,unknown,NA,,,,,,,,,,,,
AB67,Manual,,NSW,booligal,-33.813667,144.738014,10/20/2021,16.9,f,,,,4,,,,,,2.03,,,,,,,-,,40.2,Y,,,,0:12:44,0:14:43,01:59,119.00,,,,,0:14:43,14.72,0,,3,,1/21/2022 11:00,,NA,,,,dead_unknown,NA,,,,,,,,,,,,
AB77,Manual,,NSW,Yantabulla,-29.296027,144.979284,9/21/2023,21.7,m,,,,2,,,,,,#DIV/0!,,,,,,,-,,-,,,,,00:08.0,0:10:52,10:44,644.00,,,,,0:10:52,10.87,0,,NA,,,,-,,,,alive,,,,,,,,,,,,,
DM28,Pole syringe,Eastern Collared Pig 45,NSW,Old farm ,-29.960884,152.065458,2/22/2022,19,f,Non Lactating ,39.80,,45415,Low ,Zoletil,2.00,5.03,,,,,,,Rump,03:00,,Deep,39.5,N,Normal,Normal,,2/22/2022 9:10,2/22/2022 9:40,29:08,29.13,2/22/2022 10:10,0:30:01,,,1:02:09,2.15,0,,,,,,Unknown after 37 days,4/1/2022,,,,Collar retrieved 1 April 2022,,,,,,,,,,,,
DM99,Pole syringe,Western Collared Pig 11,NSW,"Tongo
",-30.541562,143.701087,9/17/2020,27,f,Lactating ,47.80,,45415,Low ,Zoletil,2.10,4.39,,2.92,,,,,Rump,03:00,,Good,38.6,N,Normal,Normal,,9/17/2020 8:43,9/17/2020 8:56,13:14,13.23,9/17/2020 9:45,0:49:19,,,1:05:33,5.55,0,,,,,,Unknown after 1095 days,9/18/2023,,,,Collar collected on 18 September 2023. Ray Dennis shot end of last year. ,,,,,,,,,,,,
SC01,Manual,Bingara Collared Pig 1,NSW,Bingara,-29.749766,150.485982,2/12/2025,21,m,NA,-,,2,,,,,,,,,,,,,-,,39.6,N,,,,0:12:30,0:19:28,06:58,6.97,,,,,0:06:58,6.97,0,,17,,,,-,,,,alive,,,,,,,,,,,,,
SC02,Manual,Bingara Collared Pig 2,NSW,Bingara,-29.749766,150.485982,2/12/2025,21,f,lactating,-,,3,,,,,,,,,,,,,-,,40.6,N,,,,0:20:05,0:27:36,07:31,7.52,,,,,0:07:31,7.52,0,,17,,,,-,,,,alive,,,,,,,,,,,,,
SC03,Manual,Bingara Collared Pig 3,NSW,Bingara,-29.749766,150.485982,2/12/2025,21,f,pregnant,-,,3,,,,,,,,,,,,,-,,40.2,N,,,,0:28:34,0:32:40,04:06,4.10,,,,,0:04:06,4.10,0,,17,,,,-,,,,alive,,,,,,,,,,,,,
SC04,Manual,Bingara Collared Pig 4,NSW,Bingara,-29.749766,150.485982,2/12/2025,22,m,NA,-,,3,,,,,,,,,,,,,-,,40.2,Y,,,,0:34:00,0:40:04,06:04,6.07,,,,,0:06:04,6.07,1,,17,,,,-,,,,alive,,"11.12 minutes handling for the second time; body temperature second handling: 39.7. Collar was too lose, left the animal in trap to cool down, poured water over body. Came back 20minutes later. Once collar fitted again, left the animal in trap with door open after cooling down with water over body. ",,,,,,,,,,,
SC05,Manual,Bingara Collared Pig 5,NSW,Bingara,-29.751488,150.486046,2/12/2025,20,m,NA,-,,3,,,,,,,,,,,,,-,,38.7,N,,,,0:13:37,0:16:36,02:59,2.98,,,,,0:02:59,2.98,0,,1,,,,-,,,,alive,,,,,,,,,,,,,
SC06,Manual,Bingara Collared Pig 6,NSW,Bingara,-29.749701,150.488725,2/11/2025,21,f,lactating,-,,3,,,,,,,,,,,,,-,,37.4,N,,,,0:14:31,0:19:21,04:50,4.83,,,,,0:04:50,4.83,0,,14,,,,-,,,,alive,,,,,,,,,,,,,
SC07,Manual,Bingara Collared Pig 7,NSW,Bingara,-29.749701,150.488725,2/11/2025,21,m,NA,-,,3,,,,,,,,,,,,,-,,40.1,N,,,,0:20:54,0:28:12,07:18,7.30,,,,,0:07:18,7.30,1,small amount of blood on the snout upon arrival,14,,,,-,,,,alive,,,,,,,,,,,,,
SC08,Manual,Bingara Collared Pig 8,NSW,Bingara,-29.757562,150.480041,2/13/2025,21,m,NA,-,,2,,,,,,,,,,,,,-,,39.7,N,,,,0:17:07,0:20:46,03:39,3.65,,,,,0:03:39,3.65,0,,15,,,,-,,,,alive,,,,,,,,,,,,,
SC09,Manual,Bingara Collared Pig 9,NSW,Bingara,-29.757562,150.480041,2/13/2025,21,f,lactating,-,,2,,,,,,,,,,,,,-,,39.8,N,,,,0:23:05,0:40:05,17:00,17.00,,,,,0:17:00,17.00,1,ear bleeding from the DNA sampling,15,,,,-,,,,alive,,"collar was too large, took a bit of time to punch new holes",,,,,,,,,,,
